Symbol,avg_score,count,sub_cate,yearquarter
31,0.07672910070554773,22,偏股混合型基金,2009H2
20015,0.08643929224291981,22,偏股混合型基金,2009H2
40005,0.08466637752611525,22,偏股混合型基金,2009H2
40008,0.07969429487870494,22,偏股混合型基金,2009H2
40011,0.033285582057115654,22,偏股混合型基金,2009H2
40180,0.15312326947848,3,被动指数型基金,2009H2
80002,0.0644253323023969,11,灵活配置型基金,2009H2
161611,0.08339906149459152,22,偏股混合型基金,2009H2
162204,0.1066339439289136,22,偏股混合型基金,2009H2
162307,0.15307051440080002,3,被动指数型基金,2009H2
163801,0.14793971130116415,11,灵活配置型基金,2009H2
163805,0.08915226483209561,22,偏股混合型基金,2009H2
163807,0.1514103861356323,11,灵活配置型基金,2009H2
200007,0.04323298081924965,11,灵活配置型基金,2009H2
200010,0.05658214175227008,22,偏股混合型基金,2009H2
206002,0.05515575942329381,22,偏股混合型基金,2009H2
210002,0.06865894189104435,11,灵活配置型基金,2009H2
240004,0.07416764689101409,22,偏股混合型基金,2009H2
240005,0.055946483192118694,22,偏股混合型基金,2009H2
240008,0.08986526084217156,11,灵活配置型基金,2009H2
240014,0.16639188428719837,3,被动指数型基金,2009H2
270021,0.062406277580356,22,偏股混合型基金,2009H2
310388,0.03236352055418216,22,偏股混合型基金,2009H2
320003,0.04232512304390013,22,偏股混合型基金,2009H2
320010,0.17679956555366516,3,被动指数型基金,2009H2
375010,0.0954701761630448,11,灵活配置型基金,2009H2
377020,0.07511686101894481,22,偏股混合型基金,2009H2
460005,0.09761105528609315,22,偏股混合型基金,2009H2
519066,0.047470759092406764,11,灵活配置型基金,2009H2
519185,0.09655433495274995,22,偏股混合型基金,2009H2
519670,0.08603824234821576,22,偏股混合型基金,2009H2
519698,0.07570452547886151,22,偏股混合型基金,2009H2
530005,0.0570682324469089,11,灵活配置型基金,2009H2
580001,0.10303132473067801,11,灵活配置型基金,2009H2
580002,0.06101745367050166,22,偏股混合型基金,2009H2
580003,0.07132487164132968,22,偏股混合型基金,2009H2
580005,0.07999401844360608,11,灵活配置型基金,2009H2
610001,0.04315324551002541,22,偏股混合型基金,2009H2
610002,0.06438861804252317,11,灵活配置型基金,2009H2
31,0.10157117748568793,29,偏股混合型基金,2010H1
20015,0.09039219452774726,29,偏股混合型基金,2010H1
40008,0.07727258845136079,29,偏股混合型基金,2010H1
40011,0.05112653803722606,29,偏股混合型基金,2010H1
40015,0.06993459947407242,10,灵活配置型基金,2010H1
40180,0.035878854182859216,6,被动指数型基金,2010H1
160212,0.10273581036719777,29,偏股混合型基金,2010H1
161611,0.07335063275592076,29,偏股混合型基金,2010H1
161811,0.03257170304035142,6,被动指数型基金,2010H1
162212,0.07431428930882746,29,偏股混合型基金,2010H1
162307,0.08147220623989897,6,被动指数型基金,2010H1
