»ù½ð´úÂë,index_t,index_t_1,similarity_score
1,2011Q1,2010Q4,0.20041668
1,2011Q2,2011Q1,0.23194632
1,2011Q3,2011Q2,0.3438946
1,2011Q4,2011Q3,0.31013766
1,2012Q1,2011Q4,0.20618747
1,2012Q2,2012Q1,0.3646699
1,2012Q3,2012Q2,0.5332715
1,2012Q4,2012Q3,0.3933969
1,2013Q1,2012Q4,0.05921025
1,2013Q2,2013Q1,0.6359322
1,2013Q3,2013Q2,0.31613994
1,2013Q4,2013Q3,0.52253526
1,2014Q1,2013Q4,0.5339847
1,2014Q2,2014Q1,0.4258101
1,2014Q3,2014Q2,0.06633412
1,2017Q3,2017Q2,0.14360714
1,2017Q4,2017Q3,0.11187378
1,2018Q1,2017Q4,0.062560074
1,2018Q2,2018Q1,0.23008928
1,2018Q3,2018Q2,0.098795846
1,2018Q4,2018Q3,0.18420078
1,2019Q1,2018Q4,0.086713076
1,2019Q2,2019Q1,0.15279049
1,2019Q3,2019Q2,0.13916162
1,2019Q4,2019Q3,0.19027288
1,2020Q1,2019Q4,0.16406962
1,2020Q2,2020Q1,0.19843009
1,2020Q3,2020Q2,0.24941218
1,2020Q4,2020Q3,0.2586974
1,2021Q1,2020Q4,0.048420012
1,2021Q2,2021Q1,0.11644515
1,2021Q3,2021Q2,0.10953214
1,2021Q4,2021Q3,0.6898435
1,2022Q1,2021Q4,0.5141374
1,2022Q2,2022Q1,0.2638657
6,2019Q3,2019Q2,0.90576255
6,2019Q4,2019Q3,0.63519657
6,2020Q1,2019Q4,0.33858487
6,2020Q2,2020Q1,0.53302014
6,2020Q3,2020Q2,0.75529575
6,2020Q4,2020Q3,0.5929152
6,2021Q1,2020Q4,0.74123335
6,2021Q2,2021Q1,0.36857378
6,2021Q3,2021Q2,0.36840507
6,2021Q4,2021Q3,0.7050272
6,2022Q1,2021Q4,0.6698479
6,2022Q2,2022Q1,0.7161978
8,2013Q3,2013Q2,0.79779744
8,2013Q4,2013Q3,1.0
8,2014Q1,2013Q4,1.0
8,2014Q2,2014Q1,1.0
8,2014Q3,2014Q2,1.0
8,2014Q4,2014Q3,1.0
8,2015Q1,2014Q4,1.0
8,2015Q2,2015Q1,1.0
8,2015Q3,2015Q2,1.0
8,2015Q4,2015Q3,1.0
8,2016Q1,2015Q4,0.81021774
8,2016Q2,2016Q1,0.54150105
8,2016Q3,2016Q2,0.89464045
8,2016Q4,2016Q3,0.9993803
8,2017Q1,2016Q4,0.9975077
8,2017Q2,2017Q1,0.99785584
8,2017Q3,2017Q2,0.99785584
8,2017Q4,2017Q3,0.99785584
8,2018Q1,2017Q4,1.0000001
8,2018Q2,2018Q1,1.0000001
8,2018Q3,2018Q2,1.0000001
8,2018Q4,2018Q3,1.0000001
8,2019Q1,2018Q4,0.97162867
8,2019Q2,2019Q1,0.9784151
8,2019Q3,2019Q2,0.9273553
8,2019Q4,2019Q3,0.8957618
8,2020Q1,2019Q4,0.9741635
8,2020Q2,2020Q1,1.0000001
8,2020Q3,2020Q2,0.957027
8,2020Q4,2020Q3,0.99999994
8,2021Q1,2020Q4,0.99999994
8,2021Q2,2021Q1,0.99999994
8,2021Q3,2021Q2,0.99999994
8,2021Q4,2021Q3,0.99999994
8,2022Q1,2021Q4,0.99999994
8,2022Q2,2022Q1,0.99999994
11,2015Q1,2014Q4,0.27543548
11,2015Q2,2015Q1,0.09014363
11,2015Q3,2015Q2,0.17582032
11,2015Q4,2015Q3,0.13443305
11,2016Q1,2015Q4,0.1627223
11,2016Q2,2016Q1,0.16763698
11,2016Q3,2016Q2,0.35716382
11,2016Q4,2016Q3,0.17958729
11,2017Q1,2016Q4,0.1469712
11,2017Q2,2017Q1,0.101632155
11,2017Q3,2017Q2,0.48575988
11,2017Q4,2017Q3,0.5743847
11,2018Q1,2017Q4,0.5676809
11,2018Q2,2018Q1,0.78629327
11,2018Q3,2018Q2,0.68370086
11,2018Q4,2018Q3,0.6852159
11,2019Q1,2018Q4,0.40602934
11,2019Q2,2019Q1,0.2833052
11,2019Q3,2019Q2,0.46819913
11,2019Q4,2019Q3,0.59807056
11,2020Q1,2019Q4,0.37403536
11,2020Q2,2020Q1,0.40194455
11,2020Q3,2020Q2,0.60672987
11,2020Q4,2020Q3,0.6494399
11,2021Q1,2020Q4,0.67111266
11,2021Q2,2021Q1,0.6860612
11,2021Q3,2021Q2,0.726859
11,2021Q4,2021Q3,0.5233194
11,2022Q1,2021Q4,0.5128562
11,2022Q2,2022Q1,0.6930214
17,2013Q3,2013Q2,0.46569338
17,2013Q4,2013Q3,0.7450923
17,2014Q1,2013Q4,0.68827254
17,2014Q2,2014Q1,0.3555925
17,2014Q3,2014Q2,0.63403034
17,2014Q4,2014Q3,0.16894779
17,2015Q1,2014Q4,0.66028774
17,2015Q2,2015Q1,0.2105628
17,2015Q3,2015Q2,0.39802164
17,2015Q4,2015Q3,0.4530465
17,2016Q1,2015Q4,0.1816997
17,2016Q2,2016Q1,0.4551278
17,2016Q3,2016Q2,0.08946157
17,2016Q4,2016Q3,0.071455844
17,2017Q1,2016Q4,0.24710296
17,2017Q2,2017Q1,0.0486297
17,2017Q3,2017Q2,0.053592484
17,2017Q4,2017Q3,0.6315316
17,2018Q1,2017Q4,0.46298492
17,2018Q2,2018Q1,0.13551079
17,2018Q3,2018Q2,0.09771136
17,2018Q4,2018Q3,0.13763194
17,2019Q1,2018Q4,0.056174513
17,2019Q2,2019Q1,0.09995955
17,2019Q3,2019Q2,0.11341314
17,2019Q4,2019Q3,0.14114852
17,2020Q1,2019Q4,0.06289719
17,2020Q2,2020Q1,0.08180431
17,2020Q3,2020Q2,0.3665052
17,2020Q4,2020Q3,0.11222597
17,2021Q1,2020Q4,0.12342694
17,2021Q2,2021Q1,0.12653771
17,2021Q3,2021Q2,0.07436125
17,2021Q4,2021Q3,0.15286124
17,2022Q1,2021Q4,0.1706654
17,2022Q2,2022Q1,0.20511362
20,2013Q3,2013Q2,0.37857488
20,2014Q2,2014Q1,0.40966773
20,2014Q3,2014Q2,0.3287721
20,2014Q4,2014Q3,0.45561942
20,2015Q1,2014Q4,0.4553451
20,2015Q2,2015Q1,0.42463893
20,2015Q3,2015Q2,0.17934856
20,2015Q4,2015Q3,0.29003158
20,2016Q1,2015Q4,0.23852754
20,2016Q2,2016Q1,0.16826886
20,2016Q3,2016Q2,0.3507799
20,2016Q4,2016Q3,0.49255744
20,2017Q1,2016Q4,0.6505511
20,2017Q2,2017Q1,0.13412727
20,2017Q3,2017Q2,0.56460077
20,2017Q4,2017Q3,0.76055413
20,2018Q1,2017Q4,0.605551
20,2018Q2,2018Q1,0.62071174
20,2018Q3,2018Q2,0.5730393
20,2018Q4,2018Q3,0.8070594
20,2019Q1,2018Q4,0.3301911
20,2019Q2,2019Q1,0.2603879
20,2019Q3,2019Q2,0.44960392
20,2019Q4,2019Q3,0.16252011
20,2020Q1,2019Q4,0.19851747
20,2020Q2,2020Q1,0.2888226
20,2020Q3,2020Q2,0.24097596
20,2020Q4,2020Q3,0.291821
20,2021Q1,2020Q4,0.7419088
20,2021Q2,2021Q1,0.8137134
20,2021Q3,2021Q2,0.32810575
20,2021Q4,2021Q3,0.5065718
20,2022Q1,2021Q4,0.70922047
20,2022Q2,2022Q1,0.5949053
21,2011Q1,2010Q4,0.070988625
21,2011Q2,2011Q1,0.12735763
21,2011Q3,2011Q2,0.124388054
21,2011Q4,2011Q3,0.26191723
21,2012Q1,2011Q4,0.24551742
21,2012Q2,2012Q1,0.16225749
21,2012Q3,2012Q2,0.11592915
21,2012Q4,2012Q3,0.18689615
21,2013Q3,2013Q2,0.34025782
21,2013Q4,2013Q3,0.5136762
21,2014Q1,2013Q4,0.38323516
21,2014Q2,2014Q1,0.27431592
21,2014Q3,2014Q2,0.26531714
21,2014Q4,2014Q3,0.22871132
21,2015Q1,2014Q4,0.12027335
21,2015Q2,2015Q1,0.23499057
21,2015Q3,2015Q2,0.16903421
21,2015Q4,2015Q3,0.29019132
21,2016Q1,2015Q4,0.17892046
21,2016Q2,2016Q1,0.18903184
21,2016Q3,2016Q2,0.3459919
21,2016Q4,2016Q3,0.3100718
21,2017Q1,2016Q4,0.12408369
21,2017Q2,2017Q1,0.14423686
21,2017Q3,2017Q2,0.27080557
